BRAMKARZ,Klub,Słupki,Poprzeczki,SUMA
Mateusz Lis,Wisła Kraków,6,8,14
Dawid Kudła,Zagłębie Sosnowiec,7,3,10
Dusan Kuciak,Lechia Gdańsk,4,4,8
Łukasz Załuska,Pogoń Szczecin,3,5,8
Grzegorz Sandomierski,Jagiellonia Białystok,3,4,7
Jasmin Burić,Lech Poznań,6,1,7
Pavels Steinbors,Arka Gdynia,5,2,7
Jakub Słowik,Śląsk Wrocław,3,4,7
Bartłomiej Żynel,Wisła Płock,4,3,7
Jakub Bursztyn,Pogoń Szczecin,2,5,7
Dominik Hładun,Zagłębie Lubin,3,3,6
Thomas Dahne,Wisła Płock,3,3,6
Frantisek Plach,Piast Gliwice,4,2,6
Zlatan Alomerović,Lechia Gdańsk,0,5,5
Martin Chudy,Górnik Zabrze,2,3,5
Maciej Gostomski,Cracovia,1,3,4
Tomasz Loska,Górnik Zabrze,4,0,4
Michal Pesković,Cracovia,1,3,4
Matthias Hamrol,Korona Kielce,4,0,4
Łukasz Sapela,Miedź Legnica,3,0,3
Marian Kelemen,Jagiellonia Białystok,1,2,3
Radosław Majecki,Legia Warszawa,2,1,3
Konrad Forenc,Zagłębie Lubin,1,2,3
Sosłan Dżanajew,Miedź Legnica,0,3,3
Jakub Szmatuła,Piast Gliwice,0,1,1
Marcel Zapytowski,Wisła Płock,1,0,1
Matus Putnocky,Lech Poznań,0,1,1
Arkadiusz Malarz,Legia Warszawa,1,0,1
Jakub Wrąbel,Śląsk Wrocław,0,1,1
Anton Kanibołoćkyj,Miedź Legnica,1,0,1
Lukas Hrosso,Zagłębie Sosnowiec,0,1,1
Paweł Sokół,Korona Kielce,0,1,1
Radosław Cierzniak,Legia Warszawa,1,0,1
