KLUB,CZAS,MIN MŁ PL,% MŁ PL,ZAW,MŁ PL,G,G MŁ PL,% G MŁ PL
Arka Gdynia,36601,153,"0,42%",31,3,46,0,"0,00%"
Bruk-Bet Nieciecza,36576,59,"0,16%",31,2,39,0,"0,00%"
Cracovia,36613,2984,"8,15%",37,8,51,0,"0,00%"
Górnik Zabrze,36486,9265,"25,39%",29,10,65,9,"13,85%"
Jagiellonia Białystok,36629,1156,"3,16%",29,1,55,5,"9,09%"
Korona Kielce,36563,81,"0,22%",34,4,49,1,"2,04%"
Lech Poznań,36370,4045,"11,12%",27,4,53,3,"5,66%"
Lechia Gdańsk,36519,1047,"2,87%",35,5,46,1,"2,17%"
Legia Warszawa,36304,1190,"3,28%",33,1,54,4,"7,41%"
Piast Gliwice,36424,2110,"5,79%",30,3,41,1,"2,44%"
Pogoń Szczecin,36522,3657,"10,01%",29,7,46,3,"6,52%"
Sandecja Nowy Sącz,36494,1,"0,00%",28,1,34,0,"0,00%"
Śląsk Wrocław,36520,985,"2,70%",28,5,50,0,"0,00%"
Wisła Kraków,36610,789,"2,16%",29,2,51,1,"1,96%"
Wisła Płock,36533,1801,"4,93%",28,1,53,1,"1,89%"
Zagłębie Lubin,36492,2869,"7,86%",33,4,45,1,"2,22%"
